Position,Track Name,Artist,Streams,URL
193,Malibu (feat. Gemitaiz),Carl Brave,225800,https://open.spotify.com/track/5S2Bshrq6Bh4zHZoXkUtvf
194,Happy Now,Kygo,225690,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
195,Nuovi Jeans,Nashley,223256,https://open.spotify.com/track/0N1pKkjhVwKZWFLF47R1tv
196,British,Dark Polo Gang,222505,https://open.spotify.com/track/3JEvpERjiUoFXZO1BUc2dv
197,Centro (feat. Coez),MadMan,222063,https://open.spotify.com/track/6DGl9TtxYTpMFrmZa1mwEz
198,when the party's over,Billie Eilish,220550,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
199,Le luci della città,Coez,220302,https://open.spotify.com/track/381VH1JFj9q08V1OMlPU5m
200,Lucid Dreams,Juice WRLD,219466,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
1,È sempre bello,Coez,3438470,https://open.spotify.com/track/18LXrvm337xqvFxpaB9Puj
2,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,2571770,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
3,Calma - Remix,Pedro Capó,2051691,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
4,Happy Birthday,Sfera Ebbasta,1680645,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
5,Holding out for You (feat. Zara Larsson),Fedez,1584324,https://open.spotify.com/track/4EZhkTdGDdlLoHI6NsYSX5
6,Torna a casa,Måneskin,1461887,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
7,90MIN,Salmo,1346224,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
8,La fine del mondo,Anastasio,1321213,https://open.spotify.com/track/3FhWEh7VTAOYK4edZqNWNB
9,Cambiare Adesso,Dark Polo Gang,1308463,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7
10,Cascare nei tuoi occhi,Ultimo,1179806,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1173641,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
12,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,1107839,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
