Position,Track Name,Artist,Streams,URL
126,Perfect,Ed Sheeran,76234,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
127,Marinero,Maluma,76219,https://open.spotify.com/track/6x5LBP3nYXVdIDoomChGr3
128,A Ella,KAROL G,75735,https://open.spotify.com/track/1pkMzGqBBS10nDiiYrNGGJ
129,We Are The Champions - Remastered 2011,Queen,75528,https://open.spotify.com/track/1lCRw5FEZ1gPDNPzy1K4zW
130,La Incondicional,Luis Miguel,75482,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
131,Ponle,Rvssian,75064,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4
132,Pineapple,KAROL G,74971,https://open.spotify.com/track/2RXzzOxmBlffT81fjwBSVh
133,In My Feelings,Drake,74060,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
134,Downtown,Anitta,73789,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
135,I Want To Break Free - Single Remix,Queen,72969,https://open.spotify.com/track/2AkmdLbVKS1steeZdy8H1l
136,Mayores,Becky G,72928,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
137,Booty,C. Tangana,72394,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe
138,Mi Cama,KAROL G,72183,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
139,IDGAF,Dua Lipa,71201,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
140,Como Mirarte,Sebastian Yatra,70512,https://open.spotify.com/track/0CXEPVeQDLgDBfvcsQpXq1
141,Besos En Guerra,Morat,70200,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA
142,El Farsante - Remix,Ozuna,69318,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
143,Domingo (feat. Cosculluela),Reykon,68208,https://open.spotify.com/track/6ayCEojiJIe5d8DwXVlGU4
144,Electricity (with Dua Lipa),Silk City,68186,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
145,Creo en Ti,Reik,68008,https://open.spotify.com/track/0xXhgLXfEHnWJHVgRvFvdn
146,Traicionera,Sebastian Yatra,67590,https://open.spotify.com/track/4Ft0391aLVNtCPPseh98lp
147,Síguelo Bailando,Ozuna,67489,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
148,A Partir De Hoy,David Bisbal,67124,https://open.spotify.com/track/7ojH6H4wE6XJNgzU4uvNc8
149,Te Mando Flores,Fonseca,66883,https://open.spotify.com/track/6OpHDI8lRiqHLqmUIYUxVr
150,Perfecta,Kobi Cantillo,66813,https://open.spotify.com/track/7g5DQLPkOYdch16quoI7iz
151,Lamento Boliviano,Los Enanitos Verdes,66516,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
152,Believer,Imagine Dragons,66486,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
153,En El Muelle De San Blas,Maná,65994,https://open.spotify.com/track/0mvocLIWUnT10znvIXwHGr
154,Báilame - Remix,Nacho,65985,https://open.spotify.com/track/4l3xGFwoTinvYxsePytOOf
155,Me Tiene Mal,Paulo Londra,65926,https://open.spotify.com/track/5BHiSQqlKWKoSmASzJTrVg
156,Let Me Love You,DJ Snake,65736,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
157,Historia entre tus dedos,Los 4,64594,https://open.spotify.com/track/1azNmWAecfKNw0efhKkzNM
158,Devuelveme,Ozuna,64593,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
159,The Scientist,Coldplay,64473,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
160,Devuélveme a mi chica,Hombres G,64036,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
161,Que Va,Alex Sensation,63983,https://open.spotify.com/track/6J1R5wtPXiHiwiPstOSI56
162,Mocca,Lalo Ebratt,63817,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1
163,Kiss and Make Up,Dua Lipa,63548,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
164,Sirena,Cali Y El Dandee,63154,https://open.spotify.com/track/1juHIWqgFiDFAKuEBP24Lt
165,TELÉFONO,Aitana,63060,https://open.spotify.com/track/5h8VHxOBK1VWWj46T8fSly
166,Rosas O Espinas,Joey Montana,62359,https://open.spotify.com/track/1TtLoJNPEjmXOoGFDhJXMP
167,Bella,Wolfine,62329,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
168,Díganle - Tainy Remix,Leslie Grace,62029,https://open.spotify.com/track/1l89iNLbzfFN9TsWJORolB
169,Quédate Aquí,Mike Bahía,61875,https://open.spotify.com/track/40BHOcBhBU6InTXea4VRAK
170,Simples Corazones,Fonseca,61790,https://open.spotify.com/track/13vkcX5tmzimIS5Hr17ZJ1
171,Waste It On Me (feat. BTS),Steve Aoki,61280,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr
172,Colgando en tus manos (con Marta Sánchez),Carlos Baute,61278,https://open.spotify.com/track/3UI9I3e1g1y5T3SMfdgfGO
173,Es Por Tí,Juanes,60586,https://open.spotify.com/track/3b1IQflSLrgzYQPGFzI9cl
174,Yo No Sé Mañana (salsa),Luis Enrique,60512,https://open.spotify.com/track/1nZziTuPRwCfJe1XvVC760
175,Se Vuelve Loca,CNCO,60303,https://open.spotify.com/track/2PYmyMAMlhX1eVevLo5A6n
176,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,60289,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
177,La flaca,Jarabe De Palo,59614,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
178,Me Dediqué a Perderte,Alejandro Fernández,59594,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
179,Bella y Sensual,Romeo Santos,59422,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
180,Volver a Verte (feat. Cali y El Dandee),Fonseca,59335,https://open.spotify.com/track/5AEe2QNDyG1u0bujk7LrgQ
181,Mi Mala - Remix,Mau y Ricky,59112,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
182,Baby Girl (feat. Lalo Ebratt),Mario Bautista,59017,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc
183,No Te Vas,Nacho,58689,https://open.spotify.com/track/21Dt0T82tst15r3HCIM2Ku
184,Darte Remix,Alex Rose,58677,https://open.spotify.com/track/6xqbec9MHRmW7qtEINAlRx
185,Andas En Mi Cabeza,Chino & Nacho,58485,https://open.spotify.com/track/23WI5V2eD4EyGKxSl7Pyeq
186,Amorfoda,Bad Bunny,58374,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
187,Persiana Americana,Soda Stereo,58281,https://open.spotify.com/track/7JZP7kQsuFFWOrtAI7uNiW
188,Dura,Daddy Yankee,57964,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
189,Como Mirarte,Josimar y Su Yambú,57907,https://open.spotify.com/track/7dN8aYTrOhMdlq6ztIuFl0
190,Ahora Dice,Chris Jeday,57728,https://open.spotify.com/track/5LVoGJTyG6fLJgoGkY2QAZ
191,Ella Y Yo - Featuring Don Omar,Aventura,57571,https://open.spotify.com/track/6G4U9avyBNEfP0fAIduev3
192,That's What I Like,Bruno Mars,57551,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
193,La Mujer Perfecta,KURT,57402,https://open.spotify.com/track/0mAGeks6ns4FZWBPkjD9HR
194,Perdón,David Bisbal,57373,https://open.spotify.com/track/4iCJFRTRsFlj4UWoEd7bS9
195,"Un Vino, Una Cerveza",Pedro Suárez-Vértiz,57092,https://open.spotify.com/track/5Q2J37xbIR60z6ifswoGKe
196,Usted No Sabe,Bamboleo,56963,https://open.spotify.com/track/35CmU6oPcyuzqxUk1nD5FJ
197,Promises (with Sam Smith),Calvin Harris,56790,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
198,La Bicicleta,Carlos Vives,56576,https://open.spotify.com/track/0Gx4VrHzS7pZOEAGrmXXBH
199,En algún lugar,Duncan Dhu,56574,https://open.spotify.com/track/3UIENhLRdFIOuRan92cAQu
200,Clavado En Un Bar,Maná,56252,https://open.spotify.com/track/78DVpEWwmJFC25KGz8fJuE
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,825561,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,MIA (feat. Drake),Bad Bunny,790187,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
3,Adan y Eva,Paulo Londra,753502,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
4,Cuando Te Besé,Becky G,695710,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
5,Culpables,KAROL G,627848,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
6,Amigos Con Derechos,Reik,624851,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
7,Vaina Loca,Ozuna,585930,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
8,BEBE,6ix9ine,568690,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
9,Ella Quiere Beber - Remix,Anuel AA,516762,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
10,Créeme,KAROL G,513498,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
